communication_id,customer_id,timestamp,channel,reason_category,message_text,sentiment,outcome,related_claim_id
9838,3298,2023-10-20 09:33:06,Social Media,Feedback,Request for better mobile app experience,Negative,Acknowledged,
9839,3299,2023-04-13 04:45:50,Chatbot,Call Log,Follow-up call on a pending claim,Negative,Resolved,9815.0
9840,3299,2023-05-11 17:09:36,Phone,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,
9841,3299,2024-05-13 03:23:05,Phone,Feedback,Appreciation for quick claim settlement,Positive,Acknowledged,
9842,3299,2023-03-21 10:16:17,Phone,Feedback,Overall positive feedback on service,Neutral,Escalated,
9843,3300,2024-04-09 23:39:13,In-Person,Complaint,Incorrect personal details on file,Neutral,Escalated,
9844,3300,2024-04-25 12:55:52,Chatbot,Feedback,Concern about premium increase,Negative,Resolved,
9845,3300,2023-05-09 04:23:19,Email,Complaint,Unsatisfactory claim process,Neutral,Resolved,9821.0
9846,3300,2024-04-22 01:11:52,Email,Call Log,Verification of updated contact details,Neutral,Acknowledged,
9847,3300,2023-08-22 13:49:34,Chatbot,Call Log,Follow-up call on a pending claim,Negative,Escalated,9821.0
9848,3301,2023-09-22 11:01:56,Chatbot,Call Log,General inquiry about policy coverage,Neutral,Acknowledged,9825.0
9849,3301,2024-08-06 19:42:22,Phone,Feedback,Concern about premium increase,Negative,Pending Info,
9850,3301,2024-07-12 21:14:59,Chatbot,Complaint,Unsatisfactory claim process,Negative,Acknowledged,9825.0
9851,3302,2023-08-22 17:36:14,Phone,Feedback,Overall positive feedback on service,Positive,Resolved,
9852,3303,2023-10-25 01:16:24,In-Person,Complaint,Long wait time on phone support,Negative,Acknowledged,9833.0
9853,3303,2023-07-15 15:03:05,Chatbot,Call Log,Question regarding renewal process,Positive,Resolved,
9854,3303,2023-11-08 14:28:30,Phone,Call Log,Verification of updated contact details,Neutral,Pending Info,9833.0
9855,3303,2025-02-08 13:47:41,In-Person,Call Log,Verification of updated contact details,Neutral,Acknowledged,
9856,3304,2025-03-12 20:08:55,Email,Complaint,Unsatisfactory claim process,Neutral,Resolved,
9857,3304,2025-02-07 00:55:51,Social Media,Call Log,Inquiry about adding a family member to the policy,Positive,Escalated,
9858,3305,2024-09-22 03:29:52,Chatbot,Complaint,Unsatisfactory claim process,Neutral,Escalated,9840.0
9859,3306,2023-12-15 17:54:45,In-Person,Feedback,Request for better mobile app experience,Negative,Acknowledged,
9860,3306,2024-01-29 04:52:58,Social Media,Complaint,Incorrect personal details on file,Neutral,Acknowledged,
9861,3306,2024-05-11 15:29:26,Chatbot,Feedback,Suggestion for new policy feature,Negative,Acknowledged,
9862,3306,2024-09-24 05:02:39,Social Media,Complaint,Long wait time on phone support,Negative,Resolved,
9863,3306,2023-06-21 23:05:26,Social Media,Call Log,Follow-up call on a pending claim,Positive,Escalated,
9864,3307,2024-01-16 00:07:13,Phone,Feedback,Request for better mobile app experience,Positive,Acknowledged,
9865,3307,2023-10-08 00:08:19,Social Media,Feedback,Request for better mobile app experience,Neutral,Pending Info,
9866,3307,2024-10-24 17:55:55,Social Media,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,9847.0
9867,3307,2023-07-22 12:36:15,Chatbot,Feedback,Appreciation for quick claim settlement,Negative,Resolved,
9868,3307,2024-10-13 21:09:13,Phone,Complaint,Long wait time on phone support,Negative,Escalated,
9869,3308,2023-12-31 23:36:55,Chatbot,Complaint,Unsatisfactory claim process,Negative,Pending Info,9848.0
9870,3309,2023-11-26 22:41:02,Phone,Call Log,Inquiry about adding a family member to the policy,Neutral,Resolved,
9871,3310,2025-01-08 14:51:49,Chatbot,Complaint,Incorrect personal details on file,Negative,Escalated,
9872,3310,2023-08-02 03:46:39,Phone,Complaint,Unsatisfactory claim process,Negative,Resolved,9857.0
9873,3310,2024-08-08 17:08:01,Social Media,Call Log,Inquiry about adding a family member to the policy,Negative,Resolved,9857.0
9874,3311,2023-10-26 03:14:43,Chatbot,Feedback,Appreciation for quick claim settlement,Negative,Acknowledged,
9875,3311,2024-12-22 22:04:38,Chatbot,Feedback,Concern about premium increase,Negative,Acknowledged,
9876,3311,2023-12-24 09:15:20,Social Media,Feedback,Appreciation for quick claim settlement,Positive,Escalated,
9877,3312,2024-03-08 18:16:26,Phone,Feedback,Request for better mobile app experience,Negative,Resolved,
9878,3312,2024-09-20 17:38:57,Social Media,Feedback,Overall positive feedback on service,Neutral,Pending Info,
9879,3312,2024-03-10 02:01:11,In-Person,Call Log,Question regarding renewal process,Neutral,Pending Info,
9880,3313,2023-10-17 19:02:35,Phone,Feedback,Concern about premium increase,Negative,Resolved,
9881,3313,2023-06-14 06:47:52,Social Media,Feedback,Overall positive feedback on service,Negative,Pending Info,
9882,3313,2025-01-19 06:58:19,Phone,Call Log,Inquiry about adding a family member to the policy,Positive,Pending Info,9867.0
9883,3314,2023-10-01 16:39:09,Email,Call Log,Verification of updated contact details,Negative,Escalated,
9884,3314,2023-08-10 20:34:32,Phone,Complaint,Policy cancellation issue,Negative,Acknowledged,9872.0
9885,3314,2024-11-18 15:35:23,Phone,Call Log,Inquiry about adding a family member to the policy,Positive,Pending Info,9871.0
9886,3315,2024-12-20 00:55:09,Chatbot,Call Log,Inquiry about adding a family member to the policy,Positive,Resolved,9874.0
9887,3315,2023-11-12 11:42:21,Chatbot,Complaint,Incorrect personal details on file,Neutral,Resolved,9874.0
9888,3316,2024-05-05 22:49:38,Phone,Call Log,General inquiry about policy coverage,Neutral,Pending Info,
9889,3317,2023-10-09 13:33:23,Chatbot,Call Log,Inquiry about adding a family member to the policy,Neutral,Pending Info,9882.0
9890,3318,2023-04-28 23:45:18,Email,Call Log,Inquiry about adding a family member to the policy,Negative,Acknowledged,9887.0
9891,3318,2024-10-15 03:56:03,Phone,Call Log,Inquiry about adding a family member to the policy,Positive,Acknowledged,9885.0
9892,3318,2024-10-31 16:05:21,Social Media,Call Log,Question regarding renewal process,Neutral,Acknowledged,9886.0
9893,3319,2023-11-03 06:05:35,In-Person,Feedback,Overall positive feedback on service,Positive,Acknowledged,
9894,3319,2024-11-19 05:49:16,Chatbot,Complaint,Billing error in latest statement,Negative,Escalated,9892.0
9895,3319,2024-08-05 00:41:58,In-Person,Complaint,Policy cancellation issue,Neutral,Resolved,
9896,3319,2024-02-12 00:12:54,In-Person,Complaint,Long wait time on phone support,Negative,Acknowledged,
9897,3319,2023-10-02 03:33:24,In-Person,Feedback,Request for better mobile app experience,Negative,Acknowledged,
9898,3320,2023-07-26 05:50:50,In-Person,Feedback,Request for better mobile app experience,Negative,Pending Info,
9899,3320,2023-08-31 09:55:37,In-Person,Call Log,General inquiry about policy coverage,Positive,Escalated,
9900,3320,2023-10-23 21:10:53,Phone,Complaint,Billing error in latest statement,Negative,Resolved,
9901,3321,2024-12-02 18:28:07,Chatbot,Complaint,Billing error in latest statement,Neutral,Resolved,
9902,3322,2024-05-09 18:51:54,Email,Feedback,Suggestion for new policy feature,Negative,Acknowledged,
9903,3322,2024-05-25 22:33:15,In-Person,Feedback,Overall positive feedback on service,Neutral,Escalated,
9904,3322,2024-02-21 17:40:07,In-Person,Feedback,Suggestion for new policy feature,Negative,Resolved,
9905,3322,2024-05-13 06:32:47,Social Media,Feedback,Suggestion for new policy feature,Negative,Acknowledged,
9906,3322,2023-08-08 12:18:25,In-Person,Call Log,Question regarding renewal process,Neutral,Escalated,
9907,3323,2024-09-15 02:35:26,Chatbot,Complaint,Billing error in latest statement,Negative,Escalated,
9908,3324,2024-01-22 02:20:21,Phone,Feedback,Request for better mobile app experience,Negative,Escalated,
9909,3324,2023-08-28 22:08:17,In-Person,Call Log,Follow-up call on a pending claim,Positive,Resolved,
9910,3324,2025-02-28 18:36:58,In-Person,Call Log,Verification of updated contact details,Neutral,Pending Info,
9911,3324,2025-01-20 14:47:35,Email,Complaint,Incorrect personal details on file,Negative,Escalated,
9912,3324,2024-05-14 02:18:18,Social Media,Call Log,Verification of updated contact details,Neutral,Acknowledged,
9913,3325,2025-02-20 21:04:26,Phone,Feedback,Appreciation for quick claim settlement,Neutral,Pending Info,
9914,3325,2024-11-21 14:27:01,Phone,Feedback,Suggestion for new policy feature,Positive,Acknowledged,
9915,3326,2024-01-31 18:36:51,In-Person,Feedback,Overall positive feedback on service,Negative,Resolved,
9916,3326,2023-07-11 04:44:15,Email,Complaint,Incorrect personal details on file,Neutral,Resolved,
9917,3326,2023-05-14 17:59:57,In-Person,Complaint,Incorrect personal details on file,Negative,Acknowledged,
9918,3326,2024-02-08 23:40:26,Chatbot,Feedback,Appreciation for quick claim settlement,Positive,Escalated,
9919,3327,2023-05-21 20:46:50,Social Media,Call Log,Inquiry about adding a family member to the policy,Neutral,Resolved,
9920,3328,2025-03-01 15:12:22,Email,Complaint,Incorrect personal details on file,Neutral,Acknowledged,
9921,3328,2025-03-15 20:05:39,Phone,Complaint,Long wait time on phone support,Negative,Acknowledged,9915.0
9922,3328,2023-04-17 07:39:51,Social Media,Call Log,Verification of updated contact details,Neutral,Pending Info,9915.0
9923,3328,2023-11-15 18:13:27,Phone,Complaint,Billing error in latest statement,Neutral,Resolved,9916.0
9924,3329,2024-10-06 11:39:51,Phone,Feedback,Request for better mobile app experience,Negative,Acknowledged,
9925,3329,2024-07-31 03:12:40,Email,Complaint,Policy cancellation issue,Negative,Resolved,9919.0
9926,3330,2023-05-15 10:37:38,In-Person,Complaint,Incorrect personal details on file,Negative,Escalated,9922.0
9927,3330,2023-08-24 13:46:26,Social Media,Feedback,Overall positive feedback on service,Neutral,Escalated,
9928,3330,2024-01-20 15:56:50,Social Media,Feedback,Suggestion for new policy feature,Negative,Acknowledged,
9929,3330,2024-05-14 23:20:08,Email,Call Log,Verification of updated contact details,Neutral,Pending Info,
9930,3331,2024-08-31 01:46:53,Phone,Feedback,Suggestion for new policy feature,Positive,Resolved,
9931,3331,2024-04-27 11:28:28,Social Media,Call Log,Follow-up call on a pending claim,Positive,Escalated,9927.0
9932,3331,2024-05-26 01:01:17,Email,Complaint,Policy cancellation issue,Negative,Resolved,9927.0
9933,3331,2024-03-09 07:01:00,Social Media,Complaint,Unsatisfactory claim process,Neutral,Acknowledged,
9934,3332,2023-06-01 10:03:36,Email,Complaint,Incorrect personal details on file,Negative,Escalated,
9935,3333,2024-06-21 21:16:15,In-Person,Feedback,Request for better mobile app experience,Positive,Pending Info,
9936,3333,2024-03-05 05:48:16,Chatbot,Complaint,Incorrect personal details on file,Negative,Escalated,
9937,3333,2024-02-25 02:37:57,Social Media,Feedback,Request for better mobile app experience,Negative,Escalated,
9938,3334,2024-07-04 15:39:59,Email,Call Log,Question regarding renewal process,Neutral,Pending Info,9939.0
9939,3335,2024-01-27 22:38:45,Email,Call Log,Inquiry about adding a family member to the policy,Negative,Resolved,9943.0
9940,3336,2024-04-16 05:06:04,In-Person,Call Log,Verification of updated contact details,Neutral,Escalated,9946.0
9941,3336,2024-03-27 09:16:46,In-Person,Complaint,Policy cancellation issue,Negative,Acknowledged,9944.0
9942,3336,2023-10-29 11:09:44,Chatbot,Call Log,Verification of updated contact details,Neutral,Resolved,
9943,3336,2023-06-09 09:29:38,Chatbot,Call Log,General inquiry about policy coverage,Positive,Escalated,
9944,3336,2025-01-10 18:46:15,Email,Complaint,Incorrect personal details on file,Negative,Pending Info,
9945,3337,2023-12-01 17:24:55,Phone,Complaint,Unsatisfactory claim process,Negative,Resolved,9947.0
9946,3337,2024-01-13 00:59:44,In-Person,Feedback,Overall positive feedback on service,Neutral,Acknowledged,
9947,3338,2023-07-21 22:12:35,Chatbot,Feedback,Appreciation for quick claim settlement,Negative,Resolved,
9948,3338,2023-05-02 16:54:35,In-Person,Complaint,Billing error in latest statement,Negative,Escalated,
9949,3338,2024-03-18 04:41:46,Social Media,Call Log,Verification of updated contact details,Negative,Pending Info,9949.0
9950,3338,2024-12-20 14:44:14,In-Person,Call Log,Inquiry about adding a family member to the policy,Neutral,Pending Info,9952.0
9951,3338,2023-04-01 04:27:09,In-Person,Feedback,Request for better mobile app experience,Positive,Escalated,
9952,3339,2025-03-15 00:48:06,Social Media,Complaint,Billing error in latest statement,Negative,Acknowledged,9958.0
9953,3340,2024-01-08 14:40:13,Social Media,Call Log,General inquiry about policy coverage,Neutral,Escalated,9961.0
9954,3340,2023-03-31 15:13:00,Chatbot,Complaint,Policy cancellation issue,Neutral,Acknowledged,
9955,3340,2024-11-01 04:08:11,Phone,Feedback,Request for better mobile app experience,Negative,Resolved,
9956,3341,2023-09-25 23:41:12,Social Media,Feedback,Concern about premium increase,Positive,Acknowledged,
9957,3341,2024-07-20 03:39:44,Social Media,Complaint,Billing error in latest statement,Neutral,Resolved,9963.0
9958,3341,2023-09-03 11:15:49,Phone,Call Log,Verification of updated contact details,Neutral,Acknowledged,9963.0
9959,3341,2025-02-23 09:40:45,Phone,Complaint,Incorrect personal details on file,Negative,Pending Info,9965.0
9960,3341,2023-07-22 11:38:36,In-Person,Feedback,Overall positive feedback on service,Neutral,Pending Info,
9961,3342,2024-04-15 07:42:40,Email,Feedback,Concern about premium increase,Positive,Pending Info,
9962,3342,2024-11-27 16:20:50,Email,Call Log,Verification of updated contact details,Neutral,Pending Info,
9963,3342,2023-04-06 00:53:19,Phone,Feedback,Appreciation for quick claim settlement,Negative,Escalated,
9964,3342,2024-03-05 14:47:01,Phone,Complaint,Incorrect personal details on file,Neutral,Acknowledged,
9965,3342,2024-01-08 04:54:02,Email,Call Log,Question regarding renewal process,Neutral,Escalated,9967.0
9966,3343,2024-01-02 01:39:14,Chatbot,Complaint,Incorrect personal details on file,Neutral,Escalated,
9967,3343,2023-06-18 18:28:00,Phone,Feedback,Concern about premium increase,Negative,Pending Info,
9968,3343,2024-05-26 09:35:27,Social Media,Call Log,General inquiry about policy coverage,Neutral,Escalated,
9969,3343,2023-06-14 08:31:56,Phone,Complaint,Billing error in latest statement,Negative,Pending Info,
9970,3344,2023-08-10 08:12:35,Chatbot,Call Log,Follow-up call on a pending claim,Neutral,Pending Info,
9971,3344,2023-05-19 20:27:01,Chatbot,Feedback,Concern about premium increase,Positive,Pending Info,
9972,3344,2023-09-24 09:32:26,Email,Feedback,Concern about premium increase,Positive,Pending Info,
9973,3344,2023-11-01 12:43:41,Chatbot,Feedback,Concern about premium increase,Positive,Resolved,
9974,3345,2024-04-09 01:08:10,Email,Call Log,Inquiry about adding a family member to the policy,Positive,Pending Info,9973.0
9975,3345,2024-02-07 03:27:46,Email,Call Log,Inquiry about adding a family member to the policy,Positive,Escalated,9973.0
9976,3345,2024-05-31 21:35:17,Phone,Complaint,Billing error in latest statement,Negative,Escalated,9973.0
9977,3345,2024-07-05 00:24:53,Social Media,Call Log,Inquiry about adding a family member to the policy,Neutral,Pending Info,9974.0
9978,3346,2024-06-28 20:12:59,Phone,Call Log,General inquiry about policy coverage,Neutral,Acknowledged,9978.0
9979,3346,2024-10-03 10:25:29,Chatbot,Feedback,Request for better mobile app experience,Positive,Acknowledged,
9980,3347,2024-01-13 09:42:08,Email,Complaint,Billing error in latest statement,Neutral,Resolved,9980.0
9981,3347,2025-01-15 12:36:15,Chatbot,Feedback,Appreciation for quick claim settlement,Negative,Resolved,
9982,3347,2025-01-10 05:51:48,Chatbot,Feedback,Suggestion for new policy feature,Neutral,Escalated,
9983,3347,2024-04-26 11:59:57,Social Media,Feedback,Overall positive feedback on service,Positive,Escalated,
9984,3347,2023-08-30 14:26:29,Chatbot,Feedback,Suggestion for new policy feature,Positive,Resolved,
9985,3348,2024-12-28 20:11:20,Social Media,Feedback,Appreciation for quick claim settlement,Positive,Acknowledged,
9986,3348,2023-11-02 14:02:01,In-Person,Feedback,Request for better mobile app experience,Neutral,Pending Info,
9987,3348,2023-04-13 09:54:58,Email,Feedback,Overall positive feedback on service,Positive,Resolved,
9988,3349,2023-12-01 15:32:43,Email,Feedback,Overall positive feedback on service,Negative,Resolved,
9989,3350,2024-02-28 23:13:40,Email,Feedback,Overall positive feedback on service,Positive,Resolved,
9990,3351,2023-07-04 01:40:33,In-Person,Call Log,Follow-up call on a pending claim,Positive,Escalated,
9991,3351,2024-12-06 04:32:34,Social Media,Feedback,Request for better mobile app experience,Positive,Pending Info,
9992,3351,2024-08-08 07:22:31,In-Person,Feedback,Concern about premium increase,Negative,Pending Info,
9993,3351,2024-10-21 23:12:12,Phone,Complaint,Incorrect personal details on file,Neutral,Pending Info,9992.0
9994,3351,2024-05-15 06:44:56,Social Media,Feedback,Suggestion for new policy feature,Positive,Acknowledged,
9995,3352,2024-09-06 14:13:18,In-Person,Feedback,Concern about premium increase,Positive,Acknowledged,
9996,3352,2024-10-12 11:42:19,Social Media,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,
9997,3352,2024-06-24 23:24:16,Chatbot,Call Log,General inquiry about policy coverage,Negative,Acknowledged,
9998,3353,2024-07-03 22:31:51,Chatbot,Complaint,Long wait time on phone support,Negative,Acknowledged,9997.0
9999,3354,2024-02-22 03:14:16,Email,Complaint,Billing error in latest statement,Negative,Pending Info,10001.0
10000,3354,2023-07-17 06:31:44,In-Person,Call Log,Inquiry about adding a family member to the policy,Neutral,Acknowledged,
10001,3354,2024-10-25 03:37:45,Social Media,Feedback,Concern about premium increase,Negative,Acknowledged,
10002,3354,2023-05-24 17:36:59,In-Person,Feedback,Suggestion for new policy feature,Negative,Escalated,
10003,3355,2023-10-15 03:51:55,Email,Complaint,Long wait time on phone support,Negative,Escalated,10003.0
10004,3355,2025-01-06 17:00:10,Chatbot,Complaint,Policy cancellation issue,Neutral,Pending Info,10004.0
10005,3355,2025-02-11 04:22:24,Chatbot,Complaint,Policy cancellation issue,Negative,Acknowledged,10004.0
10006,3355,2023-12-05 17:14:53,Email,Call Log,Follow-up call on a pending claim,Positive,Acknowledged,10004.0
10007,3356,2023-05-15 00:57:04,Phone,Complaint,Long wait time on phone support,Negative,Resolved,10008.0
10008,3356,2024-06-13 09:51:53,Phone,Call Log,Question regarding renewal process,Neutral,Acknowledged,10008.0
10009,3356,2024-06-22 08:23:09,Email,Call Log,Verification of updated contact details,Neutral,Acknowledged,10006.0
10010,3356,2024-03-14 13:39:15,Chatbot,Feedback,Concern about premium increase,Negative,Resolved,
10011,3357,2023-07-14 02:01:31,Phone,Complaint,Incorrect personal details on file,Negative,Escalated,10012.0
10012,3357,2023-05-09 23:35:00,Phone,Complaint,Billing error in latest statement,Negative,Pending Info,
10013,3357,2023-03-19 03:22:55,Social Media,Call Log,Follow-up call on a pending claim,Negative,Pending Info,
10014,3358,2023-11-03 07:32:43,Chatbot,Feedback,Appreciation for quick claim settlement,Neutral,Resolved,
10015,3358,2025-02-08 22:44:46,Chatbot,Feedback,Request for better mobile app experience,Negative,Acknowledged,
10016,3358,2024-08-05 06:47:28,In-Person,Complaint,Incorrect personal details on file,Negative,Acknowledged,10016.0
10017,3358,2024-08-23 19:29:13,Phone,Complaint,Long wait time on phone support,Negative,Escalated,10017.0
10018,3358,2025-03-06 15:32:26,Chatbot,Complaint,Long wait time on phone support,Neutral,Acknowledged,10017.0
10019,3359,2023-08-12 12:26:28,In-Person,Feedback,Concern about premium increase,Neutral,Acknowledged,
10020,3359,2023-07-21 09:03:36,In-Person,Call Log,General inquiry about policy coverage,Neutral,Pending Info,
10021,3359,2023-05-18 04:55:04,Email,Feedback,Concern about premium increase,Negative,Escalated,
10022,3359,2023-12-21 01:14:15,Phone,Complaint,Long wait time on phone support,Neutral,Escalated,
10023,3360,2024-09-29 22:58:41,Chatbot,Call Log,Question regarding renewal process,Negative,Pending Info,10018.0
10024,3360,2023-08-27 02:49:05,Chatbot,Call Log,Question regarding renewal process,Positive,Escalated,10019.0
10025,3360,2024-02-18 12:28:24,In-Person,Feedback,Overall positive feedback on service,Positive,Pending Info,
10026,3360,2024-01-03 22:23:12,Email,Feedback,Appreciation for quick claim settlement,Neutral,Pending Info,
10027,3361,2024-06-25 14:32:07,Phone,Feedback,Request for better mobile app experience,Positive,Resolved,
10028,3361,2024-10-13 14:29:48,Email,Call Log,General inquiry about policy coverage,Neutral,Acknowledged,
10029,3361,2023-07-03 03:59:36,Chatbot,Feedback,Suggestion for new policy feature,Positive,Acknowledged,
10030,3362,2023-12-03 14:50:08,Phone,Complaint,Long wait time on phone support,Neutral,Pending Info,10020.0
10031,3362,2024-06-30 02:04:58,Social Media,Call Log,Inquiry about adding a family member to the policy,Negative,Escalated,
10032,3362,2023-07-09 09:26:16,In-Person,Call Log,Inquiry about adding a family member to the policy,Positive,Acknowledged,
10033,3363,2025-03-06 00:19:03,Email,Complaint,Billing error in latest statement,Neutral,Escalated,
10034,3363,2024-02-23 23:46:01,Phone,Call Log,Inquiry about adding a family member to the policy,Negative,Pending Info,10027.0
10035,3363,2023-10-03 15:57:42,Chatbot,Feedback,Concern about premium increase,Neutral,Pending Info,
10036,3363,2024-04-20 12:13:55,Email,Feedback,Request for better mobile app experience,Neutral,Pending Info,
10037,3363,2025-01-01 03:47:38,Social Media,Feedback,Concern about premium increase,Neutral,Pending Info,
10038,3364,2024-12-07 01:39:35,Chatbot,Feedback,Request for better mobile app experience,Neutral,Acknowledged,
10039,3365,2024-07-18 04:43:39,Phone,Feedback,Concern about premium increase,Positive,Resolved,
10040,3366,2023-11-09 22:15:02,Social Media,Feedback,Request for better mobile app experience,Negative,Pending Info,
10041,3366,2023-05-20 16:12:37,Phone,Feedback,Overall positive feedback on service,Positive,Pending Info,
10042,3366,2024-04-22 23:57:01,Chatbot,Call Log,Inquiry about adding a family member to the policy,Neutral,Acknowledged,
10043,3366,2023-04-08 14:21:37,Phone,Feedback,Concern about premium increase,Positive,Resolved,
10044,3366,2024-10-10 21:41:25,Social Media,Complaint,Policy cancellation issue,Negative,Escalated,
10045,3367,2023-03-23 23:49:20,Chatbot,Call Log,Verification of updated contact details,Neutral,Acknowledged,10037.0
10046,3367,2023-07-12 12:30:10,Phone,Complaint,Unsatisfactory claim process,Neutral,Escalated,10037.0
10047,3367,2023-11-02 21:42:22,Email,Feedback,Appreciation for quick claim settlement,Neutral,Acknowledged,
10048,3368,2024-01-18 02:59:25,Phone,Call Log,Inquiry about adding a family member to the policy,Negative,Escalated,10039.0
10049,3369,2023-04-30 17:38:45,In-Person,Call Log,Inquiry about adding a family member to the policy,Neutral,Pending Info,10042.0
10050,3369,2023-05-30 05:27:01,In-Person,Complaint,Policy cancellation issue,Negative,Pending Info,
10051,3369,2024-11-30 14:00:28,In-Person,Complaint,Policy cancellation issue,Neutral,Pending Info,10043.0
10052,3369,2024-10-13 10:50:05,Social Media,Call Log,Question regarding renewal process,Neutral,Acknowledged,10042.0
10053,3369,2024-02-09 03:33:07,Phone,Complaint,Long wait time on phone support,Neutral,Pending Info,10044.0
10054,3370,2023-06-04 16:55:58,Email,Complaint,Long wait time on phone support,Negative,Acknowledged,
10055,3370,2024-03-25 00:12:53,Phone,Call Log,Verification of updated contact details,Neutral,Acknowledged,10046.0
10056,3370,2024-03-20 14:07:53,In-Person,Complaint,Policy cancellation issue,Negative,Resolved,10046.0
10057,3371,2023-11-05 15:42:15,Social Media,Feedback,Overall positive feedback on service,Positive,Escalated,
10058,3371,2024-04-03 22:39:45,Phone,Feedback,Suggestion for new policy feature,Positive,Resolved,
10059,3372,2023-03-20 04:02:24,In-Person,Feedback,Suggestion for new policy feature,Neutral,Resolved,
10060,3372,2023-05-02 21:49:27,Social Media,Call Log,Question regarding renewal process,Neutral,Acknowledged,
10061,3373,2024-11-04 20:23:57,Email,Complaint,Policy cancellation issue,Negative,Acknowledged,
10062,3374,2023-07-26 20:54:15,Chatbot,Feedback,Appreciation for quick claim settlement,Negative,Pending Info,
10063,3374,2024-10-02 02:39:02,Chatbot,Call Log,Question regarding renewal process,Negative,Resolved,
10064,3374,2024-02-06 08:51:25,Social Media,Call Log,Inquiry about adding a family member to the policy,Negative,Acknowledged,
10065,3374,2023-04-04 12:48:49,Chatbot,Feedback,Concern about premium increase,Neutral,Escalated,
10066,3374,2023-04-11 10:12:45,Social Media,Complaint,Long wait time on phone support,Negative,Pending Info,
10067,3375,2024-10-06 05:40:29,Phone,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,10066.0
10068,3376,2024-03-31 15:11:44,In-Person,Complaint,Policy cancellation issue,Neutral,Acknowledged,10067.0
10069,3376,2023-08-11 14:54:57,Social Media,Complaint,Long wait time on phone support,Negative,Pending Info,
10070,3377,2024-10-20 15:16:12,Social Media,Call Log,Follow-up call on a pending claim,Negative,Acknowledged,
10071,3377,2023-08-10 16:30:52,In-Person,Feedback,Appreciation for quick claim settlement,Neutral,Escalated,
10072,3377,2025-01-24 20:23:57,In-Person,Complaint,Unsatisfactory claim process,Negative,Pending Info,10071.0
10073,3377,2024-02-08 10:37:22,In-Person,Complaint,Incorrect personal details on file,Negative,Resolved,
10074,3377,2024-11-26 23:03:21,Email,Complaint,Long wait time on phone support,Negative,Resolved,10071.0
10075,3378,2023-04-18 23:44:35,Phone,Call Log,Question regarding renewal process,Neutral,Acknowledged,10074.0
10076,3378,2024-01-19 11:38:52,Social Media,Call Log,General inquiry about policy coverage,Negative,Acknowledged,10075.0
10077,3378,2024-04-24 00:56:23,Phone,Feedback,Appreciation for quick claim settlement,Negative,Pending Info,
10078,3379,2025-01-12 11:48:09,Email,Feedback,Overall positive feedback on service,Positive,Escalated,
10079,3379,2023-03-22 17:35:41,Email,Feedback,Concern about premium increase,Negative,Resolved,
10080,3380,2023-10-09 19:51:49,Chatbot,Complaint,Long wait time on phone support,Negative,Resolved,
10081,3380,2023-08-15 07:35:31,Phone,Complaint,Billing error in latest statement,Negative,Acknowledged,
10082,3380,2024-01-24 13:17:03,Chatbot,Call Log,Follow-up call on a pending claim,Neutral,Acknowledged,10083.0
10083,3381,2023-06-19 08:26:02,Phone,Feedback,Request for better mobile app experience,Positive,Escalated,
10084,3382,2023-07-10 23:07:00,Email,Call Log,Verification of updated contact details,Neutral,Resolved,
10085,3383,2024-07-16 02:44:38,In-Person,Call Log,Question regarding renewal process,Neutral,Acknowledged,10089.0
10086,3384,2023-12-04 16:14:25,Social Media,Feedback,Concern about premium increase,Positive,Acknowledged,
10087,3385,2023-07-23 12:08:22,Chatbot,Call Log,Inquiry about adding a family member to the policy,Neutral,Pending Info,10093.0
10088,3385,2023-04-13 18:13:28,Chatbot,Complaint,Unsatisfactory claim process,Negative,Escalated,10094.0
10089,3386,2024-03-26 18:34:31,In-Person,Complaint,Unsatisfactory claim process,Negative,Resolved,
10090,3387,2024-12-04 20:13:31,In-Person,Complaint,Billing error in latest statement,Negative,Pending Info,10098.0
10091,3388,2023-12-13 06:04:54,In-Person,Call Log,Question regarding renewal process,Negative,Acknowledged,10101.0
10092,3388,2023-11-22 16:25:17,Chatbot,Complaint,Incorrect personal details on file,Neutral,Escalated,10100.0
10093,3388,2024-10-15 15:36:31,Phone,Feedback,Suggestion for new policy feature,Positive,Pending Info,
10094,3388,2024-08-16 19:16:18,Phone,Feedback,Overall positive feedback on service,Positive,Pending Info,
10095,3388,2024-05-07 21:38:47,In-Person,Feedback,Concern about premium increase,Positive,Pending Info,
10096,3389,2025-03-14 10:11:09,In-Person,Feedback,Suggestion for new policy feature,Positive,Acknowledged,
10097,3389,2024-01-16 10:46:07,In-Person,Feedback,Request for better mobile app experience,Neutral,Pending Info,
10098,3390,2024-10-12 06:27:27,Email,Feedback,Request for better mobile app experience,Neutral,Acknowledged,
10099,3390,2024-09-17 04:05:54,Social Media,Complaint,Policy cancellation issue,Neutral,Escalated,
10100,3390,2025-02-28 00:30:29,Email,Complaint,Long wait time on phone support,Negative,Escalated,
10101,3390,2024-01-30 23:18:14,Email,Feedback,Overall positive feedback on service,Negative,Escalated,
10102,3390,2024-08-04 12:33:23,Social Media,Feedback,Request for better mobile app experience,Neutral,Resolved,
